principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor,categoria_precio
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,3752.866667,Medio,2,Economico
Acido Valproico,Tableta,Divalproato Sodico 500 mg,mg,Valcote,Lafrancol,1777.266522,Medio,2,Economico
Fluoxetina,Capsula,Fluoxetina 20 mg,mg,Fluoxetina,Genfar,329.295281,Medio,2,Economico
Alopurinol,Tableta,Alopurinol 300 mg,mg,Alopurinol,Memphis,365.3996782,Bajo,1,Economico
Haloperidol,Tableta,Haloperidol 10 mg,mg,Haloperidol,Memphis,544.4616667,Alto,3,Economico
Haloperidol,Tableta,Haloperidol 10 mg,mg,Haloperidol,Memphis,2.933333333,Bajo,1,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,2460.764272,Medio,2,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Genfar,707.1738267,Medio,2,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Alerviden,Biochem,1988.48362,Alto,3,Economico
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1716.0,Medio,2,Economico
Alprazolam,Tableta,"Alprazolam 0,25 mg",mg,Xanax,Pfizer,1066.48318,Medio,2,Economico
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,La Sante,3112.160831,Medio,2,Economico
Claritromicina,Tableta,Claritromicina 500 mg,mg,Claritromicina,La Sante,12.942,Bajo,1,Economico
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,6719.61823,Alto,3,Economico
Cetirizina,Capsula,Cetirizina 10 mg,mg,Alercet,Procaps,728.6493655,Medio,2,Economico
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,506.4018161,Medio,2,Economico
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Colmed,470.0,Medio,2,Economico
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,229.5269746,Medio,2,Economico
Omeprazol,Capsula,Omeprazol 20 mg,mg,Omeprazol,Genfar,99.96243386,Medio,2,Economico
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,1955.878578,Alto,3,Economico
Clindamicina,Capsula,Clindamicina 300 mg,mg,Clindamicina,La Sante,527.1507761,Medio,2,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,La Sante,476.1756318,Medio,2,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,La Sante,32.24734982,Bajo,1,Economico
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,1030.9315,Medio,2,Economico
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Winthrop,66.08738859,Bajo,1,Economico
